,rating
121,4.5
122,4.5
123,4.0
124,4.0
125,4.0
126,4.0
127,4.0
128,4.0
130,4.0
131,4.0
132,4.5
133,4.5
135,4.0
136,5.0
137,4.0
138,4.0
139,4.0
141,4.0
143,4.5
144,4.5
146,4.0
147,4.0
149,4.0
150,4.5
151,4.0
152,4.0
154,4.5
155,4.0
156,4.5
157,4.0
158,4.0
159,4.0
160,4.5
161,4.0
162,4.0
163,4.0
164,4.5
165,4.5
166,4.5
167,4.0
168,4.5
169,4.0
171,4.0
172,4.5
173,4.0
174,3.5
176,4.0
177,4.0
178,4.5
179,4.0
180,4.5
181,3.5
182,4.0
183,4.0
184,4.0
185,3.5
186,4.5
187,4.0
188,4.5
189,4.0
190,4.5
191,4.5
192,3.5
193,3.5
194,4.0
195,4.5
196,4.0
197,4.5
198,4.5
201,4.0
202,4.0
203,4.5
205,4.0
207,4.5
208,4.5
209,4.0
210,3.5
211,4.0
212,4.5
213,5.0
214,4.5
215,4.0
216,4.0
217,4.5
218,4.5
219,4.5
220,4.5
221,4.0
222,5.0
223,4.0
224,4.5
225,5.0
226,4.0
228,4.0
229,4.0
230,4.0
231,4.0
232,4.5
233,4.0
234,4.0
236,4.0
238,4.0
240,3.5
241,4.0
242,4.5
243,4.0
244,4.0
246,4.5
247,4.0
248,4.5
249,4.0
252,4.5
253,4.0
254,4.0
255,4.0
256,4.0
257,4.0
258,4.0
259,4.5
260,4.5
261,4.0
262,4.0
263,4.5
264,4.5
267,4.5
268,4.5
269,4.5
270,4.0
271,4.5
272,3.5
273,4.0
275,4.0
276,3.5
277,4.5
278,4.0
279,5.0
280,4.0
281,4.0
282,4.0
283,4.5
284,4.0
286,4.5
287,4.0
288,4.5
289,4.0
290,4.0
291,4.5
295,4.5
296,4.5
297,4.0
298,4.5
299,4.0
300,4.5
302,4.0
303,4.5
304,4.0
305,4.5
306,4.5
307,4.5
308,4.5
309,4.5
310,4.5
311,5.0
312,4.5
314,4.0
316,4.0
317,4.0
318,4.0
319,4.0
320,4.0
321,4.0
322,4.5
323,4.5
324,4.5
325,4.0
326,4.0
327,5.0
328,4.5
329,4.0
330,4.5
331,4.0
333,4.0
334,4.0
335,4.5
336,4.0
337,4.0
338,4.0
339,4.0
340,4.5
341,4.5
342,4.5
344,4.5
345,4.0
346,4.0
347,4.5
348,4.0
349,4.0
350,4.0
351,4.5
352,4.5
353,4.5
354,3.5
355,3.5
356,4.0
357,4.5
358,4.0
359,4.0
360,3.5
361,4.5
362,3.5
363,4.5
365,4.0
366,4.0
367,4.0
368,4.5
369,4.0
370,4.5
371,4.0
372,4.0
373,4.0
374,4.0
375,4.5
377,4.5
378,5.0
379,3.5
380,4.0
381,4.0
382,4.0
386,4.0
387,4.0
388,4.0
389,4.5
390,3.5
391,4.0
392,4.5
393,4.0
394,4.0
395,4.0
396,4.0
397,4.0
398,4.5
400,4.0
403,4.0
404,4.0
406,4.0
407,4.0
408,4.5
409,4.0
410,4.5
